conv_id	condition	n_user_utterances	n_agent_utterances
o9UbVjHVrS	active	29	51	
rEG2v4CE7m	active	74	50	
XYjHSL2Ky3	active	26	39	
8nJXjVjBTQ	active	42	48	
5ed91d3f31d9c60a8ac27018	active	24	44	
612517df29cd32c6632b4a44	active	60	40	
57272517e386b9000e3e2b72	active	26	16	
5e45a7e926e79c000bc12a85	active	37	49	
j6iz4akqr2	active	28	25	
ozf8rdojjw	active	30	33	
5ea196f089935b04d2ee69d9	active	33	34	
v684ge8cmo	active	26	32	
eiRY3df7Aq	active	64	51	
ABFwuoU	active	35	48	
rfAHhxd	active	54	72	
INfBowH	active	37	39	
cegcgsG	active	46	54	
tLrorpH	active	40	62	
1vNO49Y	active	70	47	
ea5def48	active	39	54	
c70f521	active	27	28	
4f7f5758	active	18	25	
a9780bf6	active	32	43	
2424a396	active	26	21	
bKBDfgUAa3	passive	14	9	
tcYis3RLgY	passive	39	27	
h8x8QLzyCx	passive	16	14	
coe2XtNapn	passive	17	18	
mmhHDA6eue	passive	14	11	
5c8d1bee1bb19f00019d519e	passive	31	5	
55b3120cfdf99b6ef6263a71	passive	26	19	
qk8kmns74p	passive	20	9	
5fdbb3b4e66d7f061f78ea21	passive	17	12	
60c48655811ab33a8f77dd34	passive	38	22	
608b0f7f4699c09aa348c57f	passive	34	21	
577c065c9fecfe0001a5bcc7	passive	29	8	
LFiNVaQ	passive	27	21	
PPmiUbC	passive	19	24	
xMKcudn	passive	39	24	
EioCaKa	passive	31	23	
KlOmIXe	passive	15	13	
Fxikuau	passive	14	14	
nRHLDUQ	passive	24	19	
sVzhG	passive	12	17	
pC0jYVl	passive	21	12	
2b71cb60	passive	24	12	
68942e2a	passive	27	27	
7460a2a0	passive	32	28	
