 	agent_question	agent_answer	agent_other	user_question	user_answer	user_other
agent_question	4	1	2	48	99	10
agent_answer	34	194	45	96	4	145
agent_other	16	3	136	75	1	344
user_question	12	282	21	7	0	10
user_answer	6	13	62	9	7	14
user_other	92	26	307	99	2	189
